Sample no.,Sample description,Date analyzed,No. points,SiO2_Liq,TiO2_Liq,Al2O3_Liq,Cr2O3_Liq,FeOt_Liq,MnO_Liq,MgO_Liq,CaO_Liq,Na2O_Liq,K2O_Liq,P2O5_Liq,Sum,,T(MgO),T(CaO),Comments
KI88-1-255.7,matrix glass,1-Nov-11,10,60.33,2.55,14.54,0.00,6.06,0.09,2.80,4.79,3.14,2.86,1.40,98.56,,1068,1048,
KI88-1-260,matrix glass,7-Mar-91,7,59.63,2.83,14.42,0.00,6.43,0.18,3.13,5.52,3.49,2.64,1.47,99.74,,1075,1060,
KI88-1-268.4  ,coarse area,18-Mar-91,6,58.10,2.99,14.02,0.00,7.52,0.14,3.29,5.81,3.16,2.42,1.30,98.75,,1078,1067,
KI88-1-268.4,finer matrix,18-Mar-91,6,56.52,3.12,14.03,0.00,7.44,0.17,3.46,6.00,3.08,2.44,1.52,97.78,,1083,1068,
KI88-1-275.1,matrix glass,7-Mar-91,5,59.14,2.88,14.27,0.00,6.71,0.13,3.22,5.54,3.52,2.85,1.53,99.79,,1077,1061,
KI88-1-275.1 ,melt chimney,7-Mar-91,6,59.32,2.73,14.43,0.00,6.68,0.14,3.10,5.41,3.42,2.91,1.38,99.52,,1074,1058,
KI88-1-279.4,matrix glass,18-Mar-91,4,56.30,2.60,14.39,0.00,6.78,0.17,3.44,5.99,3.20,3.00,1.97,97.84,,1082,1068,
KI88-1-288.5,matrix glass,18-Mar-91,6,59.67,2.12,14.37,0.00,6.43,0.15,2.68,4.90,3.25,3.37,1.82,98.76,,1066,1051,
,,,,,,,,,,,,,,,,,,,
KI88-2-242,matrix high P2O5 glass,2-Nov-11,6,62.36,1.81,15.04,0.00,4.77,0.06,1.77,3.66,3.56,3.69,1.07,97.79,,1046,1036,
KI88-2-242,matrix low P2O5 glass,2-Nov-11,3,64.86,1.77,15.52,0.00,3.87,0.07,1.26,2.92,3.70,3.94,0.33,98.24,,1036,1018,
KI88-2-249.5,matrix glass,7-Mar-91,5,59.43,2.84,14.42,0.01,6.75,0.14,3.27,5.75,3.14,2.52,1.49,99.76,,1078,1064,
KI88-2-259.3 ,matrix glass,25-Feb-91,8,53.89,4.77,13.20,0.00,9.77,0.22,4.46,7.56,2.99,1.50,0.76,99.12,,1102,1094,
KI88-2-266.6 ,matrix glass,25-Feb-91,5,54.03,4.15,13.22,0.00,9.96,0.17,4.61,7.96,3.25,1.37,0.68,99.40,,1105,1101,
KI88-2-276.1 ,matrix glass,7-Mar-91,7,54.61,3.95,13.44,0.00,9.56,0.15,4.34,7.64,3.05,1.57,0.85,99.16,,1099,1096,
KI88-2-286.1,glass in spots mostly,25-Feb-91,9,55.21,3.95,13.51,0.00,9.28,0.23,3.98,6.98,3.27,1.90,0.95,99.26,,1094,1085,
KI88-2-286.1 R,glass in spots,18-Mar-91,5,55.87,3.87,13.41,0.00,9.30,0.15,3.95,7.05,2.93,1.84,0.89,99.26,,1093,1086,
KI88-2-286.1,matrix glass,18-Mar-91,4,54.89,3.97,13.32,0.00,9.56,0.17,4.06,7.10,2.98,1.77,0.94,98.76,,1096,1087,
KI88-2-300,glass in spots lower P2O5,7-Mar-91,5,58.23,2.70,13.90,0.00,8.30,0.15,3.01,5.56,3.39,2.59,1.28,99.11,,1073,1062,
KI88-2-300 ,matrix  high P2O5,7-Mar-91,5,57.39,2.83,13.77,0.00,8.71,0.12,3.37,6.18,3.06,2.48,1.67,99.58,,1081,1072,
KI88-2-310,vein apatite present,7-Mar-91,6,64.01,1.95,14.87,0.00,5.31,0.16,1.75,3.41,3.83,3.58,0.55,99.42,,1046,1026,
KI88-2-310,matrix high P2O5,7-Mar-91,5,60.15,2.40,14.57,0.00,6.45,0.16,2.68,4.84,3.49,3.13,1.66,99.53,,1066,1050,
KI88-2-311?,matrix high P2O5,7-Mar-91,4,60.47,2.35,14.68,0.00,6.11,0.19,2.56,4.59,3.53,3.26,1.52,99.26,,1063,1046,
KI88-2-311?,vein apatite present,7-Mar-91,3,65.07,1.90,15.02,0.00,5.05,0.15,1.66,3.22,3.78,3.64,0.39,99.88,,1044,1023,
KI88-2-322.6,matrix glass,7-Mar-91,7,68.26,1.25,14.83,0.00,3.59,0.13,0.85,1.76,3.45,5.16,0.23,99.51,,1028,999,
KI88-2-326,"glass in segregation pools, metastable ",7-Mar-91,5,68.48,1.19,14.96,0.00,2.77,0.14,0.76,1.53,3.82,4.88,0.12,98.65,,--,997,
KI88-2-345,"thin segregation vein, glass metastable",7-Mar-91,6,74.41,0.69,13.16,0.00,1.72,0.14,0.22,0.58,3.21,5.82,0.01,99.96,,--,980,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
